English,Afrikaans,Albanian,Amharic,Arabic,Armenian,Assamese,Aymara,Azerbaijani,Bambara,Basque,Belarusian,Bengali,Bhojpuri,Bosnian,Bulgarian,Catalan,Cebuano,Chinese (Simplified),Chinese (Traditional),Corsican,Croatian,Czech,Danish,Dhivehi,Dogri,Esperanto,Estonian,Ewe,Filipino (Tagalog),Finnish,French,Frisian,Galician,Georgian,Greek,Guarani,Gujarati,Haitian Creole,Hausa,Hawaiian,Hebrew,Hmong,Hungarian,Icelandic,Igbo,Ilocano,Irish,Javanese,Kannada,Kazakh,Khmer,Kinyarwanda,Konkani,Korean,Krio,Kurdish,Kurdish (Sorani),Kyrgyz,Lao,Latin,Latvian,Lingala,Lithuanian,Luganda,Luxembourgish,Macedonian,Maithili,Malagasy,Malay,Malayalam,Maltese,Maori,Marathi,Meiteilon (Manipuri),Mizo,Mongolian,Myanmar (Burmese),Nepali,Norwegian,Nyanja (Chichewa),Odia (Oriya),Oromo,Pashto,Persian,Portuguese,Punjabi,Quechua,Romanian,Russian,Samoan,Sanskrit,Scots Gaelic,Sepedi,Serbian,Sesotho,Shona,Sindhi,Sinhala (Sinhalese),Slovak,Slovenian,Somali,Sundanese,Swahili,Swedish,Tagalog (Filipino),Tajik,Tamil,Tatar,Telugu,Tigrinya,Tsonga,Turkish,Turkmen,Twi (Akan),Ukrainian,Urdu,Uyghur,Uzbek,Vietnamese,Welsh,Xhosa,Yiddish,Yoruba,Zulu
forty-two,twee en veertig,dyzet e dy,'arba hulet,thnn w'rb`wn,k'arrasownerkow,biyallis,pusi tunka payani,qirx iki,binaani ni fila,berrogeita bi,sorak dva,biy'allis,byalis,cetrdeset dva,chetirideset i dve,quaranta-dos,kap-atan ug duha,SiShiEr,SiShiEr,quarantadui,cetrdeset i dvije,ctyricet dva,toogfyrre,saalees dhey,btali,kvardek du,nelikummend kaks,blaene-vo-eve,apatnapu't dalawa,neljakymmentakaksi,quarante-deux,twaenfjirtich,corenta e dous,ormotsdaori,saranta dyo,irundypa mokoi,betalis,karannde,arba'in da biyu,kanahakumalua,'rv'ym vstyym,plaub caug ob,negyvenketto,fjorutiu og tveir,iri ano na abuo,uppat a pulo ket dua,daichead a do,patang puluh loro,nlvtterdu,qyryq eki,saesebpeir,mirongo ine na kabiri,byecalis,SaSibIDul,foti-tu,cil u du,chl w dww,kyrk eki,sisibsng,quadraginta duo,cetrdesmit divi,ntuku minei na mibale,keturiasdesimt du,ana mu bbiri,zwee an veierzeg,chetirieset i dva,byalis,Roa amby efa-polo,empat puluh dua,nalpttirnt,tnejn u erbghin,wha tekau ma rua,becalis,niphunithoi,sawmli pahnih,dochin khoer,lechynhc,byalis,fortito,makumi anayi ndi ziwiri,baisi dui,afurtamii lama,dwh tslwysht,chhl w dw,quarenta e dois,btali,tawa chunka iskayniyuq,patruzeci si doi,sorok dva,fagafulu ma le lua,dvictvarimst,da fhichead 's a dha,masomenne-pedi,chetrdeset dva,mashome a mane a metso e mmedi,makumi mana nemaviri,btyhh,htlis dek,styridsatdva,dvainstirideset,afartan iyo laba,opat puluh dua,arobaini na mbili,fyrtiotva,apatnapu't dalawa,chilu du,narpttirntu,kyryk ike,nlbhai remdu,'arb`an klten,makumemune-mune,kirk iki,kyrk iki,aduanan mmienu,sorok dva,bylys,qaraq i'akka,qirq ikki,bon muoi hai,pedwar deg dau,amashumi amane anesibini,tsvey 'vn f'rtsyk,mejilelogoji,amashumi amane nambili
forty-three,drie en veertig,dyzet e tre,'arba sost,thlthh w'rb`wn,k'arrasownerek',tecllis,pusi tunka kimsani,qirx uc,binaani ni saba,berrogeita hiru,sorak try,tetallis,tetalis ke ba,cetrdeset tri,chetirideset i tri,quaranta-tres,kap-atan ug tulo,SiShiSan,SiShiSan,quaranta tre,cetrdeset i tri,ctyricet tri,treogfyrre,saalhees thin meehunneve,tetalis,kvardek tri,nelikummend kolm,blaene vo eto,apatnapu't tatlo,neljakymmentakolme,quarante-trois,trijeenfjirtich,corenta e tres,ormotsdasami,saranta tria,cuarenta y tres,tretalis,karant twa,arba'in da uku,kanahakumakolu,'rv'ym vslvs,plaub caug peb,negyvenharom,fjorutiu og thrir,iri ano na ato,uppat a pulo ket tallo,daichead a tri,patang puluh telu,nlvtmuru,qyryq ush,saesebbei,mirongo ine na gatatu,tecalis,SaSibSam,foti tri tri pipul den,cil u se,chl w se,kyrk uch,sisibsam,quadraginta tres,cetrdesmit tris,ntuku minei na misato,keturiasdesimt trys,amakumi ana mu ssatu,drai an veierzeg,chetirieset i tri,tetalis,telo amby efapolo,empat puluh tiga,nalpttimunn,tlieta u erbghin,wha tekau ma toru,trecalis,43 suba.,sawmli leh pathum,dochin gurav,lechysum,calis-tin,forti-tre,makumi anayi ndi atatu,calis,afurtamii sadii,dry tslwysht,chhl w sh,quarenta e tres,43,tawa chunka kimsayuq,patruzeci si trei,sorok tri,fasefulu-tolu,trictvarimst,da fhichead 's a tri,masomenne-tharo,chetrdeset tri,mashome a mane a metso e meraro,makumi mana nematatu,tytlyhh,htlis tunk,styridsattri,triinstirideset,afartan iyo saddex,opat puluh tilu,arobaini na tatu,fyrtiotre,apatnapu't tatlo,chilu se,narpttu munru,kyryk och,nlbhai mudu,'arb`an selesten 'yu.,makume mune nharhu,kirk uc,kyrk uc,aduanan abiesa,sorok tri,tyntlys,qaraq i'uch,qirq uch,bon muoi ba,pedwar deg tri,amashumi amane anesithathu,dreya 'vn f'rtsyk,metalelogoji,amashumi amane nantathu
forty-four,vier en veertig,dyzet e kater,'arba 'arat,'rb`h w'rb`wn,k'arrasownch'ors,caucllis,pusi tunka pusini,qirx dord,binaani ni naani,berrogeita lau,sorak chatyry,cuy'allis,cauvalis ke ba,cetrdeset cetiri,chetirideset i chetiri,quaranta-quatre,kap-atan ug upat,SiShiSi,SiShiSi,quarantaquattru,cetrdeset i cetiri,ctyricet ctyri,44,saalhees hatharu meehunneve,cauvalis,kvardek kvar,nelikummend neli,blaene vo ene,apatnapu't apat,neljakymmentanelja,quarante-quatre,fjouwerenfjirtich,corenta e catro,ormotsdaotkhi,saranta tessera,cuarenta y cuatro,calis,karannkat,arba'in da hudu,kanahakumaha,'rv'ym v'rv',plaub caug plaub,negyvennegy,fjorutiu og fjorir,iri ano na ano,uppat a pulo ket uppat,daichead a ceathair,patang puluh papat,nlvtnalku,qyryq tort,saesebbuon,mirongo ine na bane,covalis,SaSibSa,foti-fo,cil u car,chl w chwr,kyrk tort,sisibsi,quadraginta quattuor,cetrdesmit cetri,ntuku minei na minei,keturiasdesimt keturi,amakumi ana mu bana,veieranzwanzeg,chetirieset i chetiri,cauvalis,efatra amby efapolo,empat puluh empat,nalpttinal,erbgha u erbghin,wha tekau ma wha,cvvecalis,44,sawmli leh pali,dochin dorov,lechyle,calis-car,fortifire,makumi anayi ndi anayi,calis,afurtamii afur,tslwr tslwysht,chhl w chhr,quarenta e quatro,cali-car,tawa chunka tawayuq,patruzeci si patru,sorok chetyre,fagafulu ma le fa,ctvarimst,ceathrad 's a ceithir,masomenne-nne,chetrdeset chetiri,mashome a mane a metso e mene,makumi mana nemana,chlyhh,htlis htr,styridsatstyri,stiriinstirideset,afar iyo afartan,opat puluh opat,arobaini na nne,fyrtiofyra,apatnapu't apat,chilu chor,narpttu nanku,kyryk durt,nlbhai nalugu,'arb`an 'arba`ten 'yu.,makume mune mune,kirk dort,kyrk dort,aduanan anan,sorok chotiri,chlys,qaraq tot,qirq to'rt,bon muoi bon,pedwar deg pedwar,amashumi amane anesine,fyr 'vn f'rtsyk,merinlelogoji,amashumi amane nane
forty-five,vyf en veertig,dyzet e pese,'arba 'amst,khmsh w'rb`wn,k'arrasownhing,pncllis,pusi tunka phisqhani,qirx bes,binaani ni duuru,berrogeita bost,sorak pyats',pmy'tallis,paimtalis ke ba,cetrdeset pet,chetirideset i pet,quaranta-cinc,kwarentay singko,SiShiWu,45,quarantacinque,cetrdeset pet,ctyricet pet,femogfyrre,saalhees fas meehunneve,paimtalis,kvardek kvin,nelikummend viis,blaene vo ato,apatnapu't lima,neljakymmentaviisi,quarante-cinq,fiifenfjirtich,corenta e cinco,ormotsdakhuti,saranta pente,cuarenta y cinco,pistalis,karannsenk,arba'in da hudu,kanahakumalima,'rv'ym vhms,plaub caug tsib,negyvenot,fjorutiu og fimm,iri ano na ise,uppat a pulo ket lima,daichead a cuig,patang puluh lima,nlvttaidu,qyryq bes,saesebbraam,mirongo ine na gatanu,pmcalis vrsam jalim,SaSibDaSeos,foti fayv pipul den,cil u penc,chl w penj,kyrk besh,sisibha,quadraginta quinque,cetrdesmit pieci,ntuku minei na mitano,keturiasdesimt penkeri,amakumi ana mu ttaano,fennefanzwanzeg,chetirieset i pet,paimtalis,dimy amby efampolo,empat puluh lima,nalpttiync,hamsa u erbghin,wha tekau ma rima,pmcecalis,45 suba.,sawmli leh panga a ni,dochin tav,lechyna,paimtalis,fortifem,makumi anani ndi mphambu zisanu,pcis,afurtamii shan,pndzh tslwysht,chhl w pnj,quarenta e cinco,pmjtali,tawa chunka pichqayuq,patruzeci si cinci,sorok pyat',fasefulu-lima,pncctvarimst,da fhichead 's a coig,masomenne-hlano,chetrdeset pet,mashome a mane a metso e mehlano,makumi mana neshanu,pnjytlyhh,htlis phyi,styridsatpat,petinstirideset,shan iyo afartan,opat puluh lima,arobaini na tano,fyrtiofem,apatnapu't lima,chilu panj,narpttaintu,kyryk bish,nlbhai aidu,'arb`an hamushten 'yu.,makume mune ntlhanu,kirk bes,kyrk bas,aduanan anum,sorok p'yat',pyntlys,qaraq besh,qirq besh,bon muoi lam,pedwar deg pump,amashumi amane anesihlanu,fynf 'vn f'rtsyk,marunlelogoji,amashumi amane nanhlanu
forty-six,ses en veertig,dyzet e gjashte,'arba sdst,sth w'rb`wn,k'arrasownvets',chy'cllis,pusi tunka suxtani,qirx alti,binaani ni wooro,berrogeita sei,sorak shests',checllis,chiyalis ke ba,cetrdeset sest,chetirideset i shest,quaranta-sis,kap-atan ug unom,SiShiLiu,SiShiLiu,quarantasei,cetrdeset i sest,ctyricet sest,seksogfyrre,saalhees ha eve,chiyalis,kvardek ses,nelikummend kuus,blaene vo ade,apatnapu't anim,neljakymmentakuusi,quarante-six,seisenfjirtich,corenta e seis,ormotsdaekvsi,saranta exi,cuarenta y seis,chtalis,karannsis,arba'in da shida,kanahakumaono,'rv'ym vss,plaub caug rau,negyvenhat,fjorutiu og sex,iri ano na isii,uppat a pulo ket innem,daichead a se,patang puluh enem,nlvttaru,qyryq alty,saesebbraammuoy.,mirongo ine na gatandatu,chiyalis,SaSibYug,foti siks,cil u ses,chl w shesh kes,kyrk alty,sisibhok,quadraginta sex,cetrdesmit sesi,ntuku minei na motoba,keturiasdesimt sesi,amakumi ana mu mukaaga,sechsanzwanzeg,chetirieset i shest,chiyalis,Enina amby efa-polo,empat puluh enam,nalpttiyar,sitta u erbghin,wha tekau ma ono,sha calis,46 suba.,sawmli leh paruk,dochin zurgaa,lechykhreak,chyalis,fortiseks,makumi anayi ndi zisanu ndi chimodzi,sathie,afurtamii ja'a,shprs,chhl w shsh,quarenta e seis,cali-che,tawa chunka suqtayuq,patruzeci si sase,sorok shest',fagafulu ma le ono,stctvarimst,ceathrad 's a sia,masomenne-tshela,chetrdeset shest,mashome a mane a metso e tsheletseng,makumi mana nematanhatu,chlyhh chhyn,htlis hy,styridsatsest,sestinstirideset,lix iyo afartan,opat puluh genep,arobaini na sita,fyrtiosex,apatnapu't anim,chilu shash,narpttaru,kyryk alty,nlbhai aru,'arb`an shdushten,makume mune nhungu,kirk alti,kyrk alty,aduanan nsia,sorok shist',chhylys,qaraq i'lte,qirq olti,bon muoi sau,pedwar deg chwech,amashumi amane anesithandathu,z'ks 'vn f'rtsyk,merinlelogoji,amashumi amane nesithupha
forty-seven,sewe en veertig,dyzet e shtate,'arba sebat,sb`h w'rb`wn,k'arrasownyot',satcllis,pusi tunka paqallquni,qirx yeddi,binaani ni wolonwula,berrogeita zazpi,sorak sem,satcllis,sttalis ke ba,cetrdeset sedam,chetirideset i sedem,quaranta-set,kap-atan ug pito,SiShiQi,SiShiQi,quarantasette,cetrdeset i sedam,ctyricet sedm,syvogfyrre,saalhees hath meehunneve,sttalis,kvardek sep,nelikummend seitse,blaene vo adre,apatnapu't pito,neljakymmentaseitseman,quarante-sept,sanenfjirtich,corenta e sete,ormotsdashvidi,saranta epta,cuarenta y siete,sitalis,karannset,arba'in da bakwai,kanahakumahiku,'rv'ym vsv',plaub caug xya,negyvenhet,fjorutiu og sjo,iri ano na asaa,uppat a pulo ket pito,daichead a seacht,patang puluh pitu,nlvttelu,qyryq zheti,saesebbraampeir,mirongo ine na karindwi,sttalis vrsam jalim,SaSibIl,foti sevin,cil u heft,chl w hewt kes,kyrk zheti,sisibechad,quadraginta septem,cetrdesmit septini,ntuku minei na nsambo,keturiasdesimt septyni,amakumi ana mu musanvu,siwenanzwanzeg,chetirieset i sedum,sttalis,Fito amby efa-polo,empat puluh tujuh,nalpttiyel,sebgha u erbghin,wha tekau ma whitu,sttecalis,47 sure.,sawmli leh pasarih,dochin doloo,lechykhunc,calis sat,fortisju,makumi anayi ndi zisanu ndi ziwiri,calis sat,afurtamii torba,wh tslwysht,chhl w hft,quarenta e sete,sttali,tawa chunka qanchisniyuq,patruzeci si sapte,sorok sem',fagafulu ma le fitu,sptctvarimst,ceathrad 's a seachd,masomenne-supa,chetrdeset sedam,mashome a mane a metso e supileng,makumi mana nenomwe,stytlyhh,htlis htyi,styridsatsedem,sedeminstirideset,toddoba iyo afartan,opat puluh tujuh,arobaini na saba,fyrtiosju,apatnapu't pito,chilu khaft,narptti elu,kyryk jide,nlbhai edu,'arb`an shew`aten,makume mune nkombo,kirk yedi,kyrk yedi,aduanan ason,sorok sim,syntlys,qaraq yette,qirq yetti,bon muoi bay,pedwar deg saith,amashumi amane anesixhenxe,zyvn 'vn f'rtsyk,ogoji-meje,amashumi amane nesikhombisa
forty-eight,agt en veertig,dyzet e tete,'arba smnt,thmnyh w'rb`wn,k'arrasownowt',athcllis,pusi tunka llatunkani,qirx sekkiz,binaani ni seegin,berrogeita zortzi,sorak vosem,atcllis,ad'talis ke ba,cetrdeset osam,chetirideset i osem,quaranta-vuit,kap-atan ug walo,SiShiBa,SiShiBa,quarantottu,cetrdeset i osam,ctyricet osm,otteogfyrre,saalhees ashe,ad'talis,kvardek ok,nelikummend kaheksa,blaene vo enyi,apatnapu't walo,neljakymmentakahdeksan,quarante-huit,achtenfjirtich,corenta e oito,ormotsdarva,saranta okto,cuarenta y ocho,adtalis,karannwit,arba'in da takwas,kanahakumawalu,'rv'ym vsmvnh,plaub caug yim,negyvennyolc,fjorutiu og atta,iri ano na asato,uppat a pulo ket walo,daichead a hocht,patang puluh wolu,nlvttemtu,qyryq segiz,saesebbraambei,mirongo ine n'umunani,aththalis vrsam jalim,SaSibPal,foti-eit,Cil U hest,chl w hesht kes,kyrk segiz,sisibepd,quadraginta octo,cetrdesmit astoni,ntuku minei na mwambe,keturiasdesimt astuoni,amakumi ana mu munaana,aachtanzechzeg,chetirieset i osum,ad'talis,Valo amby efa-polo,empat puluh lapan,nalpttiyett,tmienja u erbghin,wha tekau ma waru,aththecalis,48 suba.,sawmli leh pariat a ni,dochin naym,lechyrhc,aththalis,fortiatte,makumi anayi ndi asanu ndi atatu,atheis,afurtamii saddeet,th tslwysht,chhl w hsht,quarenta e oito,athtali,tawa chunka pusaqniyuq,patruzeci si opt,sorok vosem',fasefulu valu,astctvarimst,ceathrad 's a h-ochd,masomenne-seswai,chetrdeset osam,mashome a mane a metso e robedi,makumi mana nemasere,thytlyhh,htlis atk,styridsatosem,oseminstirideset,siddeed iyo afartan,opat puluh dalapan,arobaini na nane,fyrtioatta,apatnapu't walo,chilu hasht,narpttettu,kyryk sigez,nlbhai enimidi,'arb`an shemonten 'yu.,makume mune nhungu,kirk sekiz,kyrk sekiz,aduanan awotwe,sorok visim,rtlys,qaraq sekkaz,qirq sakkiz,bon muoi tam,pedwar deg wyth,amashumi amane anesibhozo,'akht 'vn f'rtsyk,mejidinlogoji,amashumi amane nesishiyagalombili
forty-nine,nege en veertig,dyzet e nente,'arba zet'eny,ts`h w'rb`wn,k'arrasowniny,uncllis,pusi tunka llatunkani,qirx doqquz,binaani ni kononton,berrogeita bederatzi,sorak dzevyats',uncllis,untalis ke ba,cetrdeset devet,chetirideset i devet,quaranta-nou,kap-atan ug siyam,SiShiJiu,SiShiJiu,quaranta nove,cetrdeset i devet,ctyricet devet,niogfyrre,saalhees nuva eve,untalis,kvardek nau,nelikummend uheksa,blaene vo enyi,apatnapu't siyam,neljakymmentayhdeksan,quarante-neuf,njoggenenfjirtich,corenta e nove,ormotsdatskhra,saranta ennea,cuarenta y nueve,ogncalis,karannef,arba'in da tara,kanahakumaiwa,'rv'ym vts',plaub caug cuaj,negyvenkilenc,fjorutiu og niu,iri ano na itoolu,uppat a pulo ket siam,daichead a naoi,patang puluh sanga,nlvttombttu,qyryq toghyz,saesebbraambuon,mirongo ine n'icyenda,ekoncalis,SaSibGu,foti-nayn,cil u neh,chl w no,kyrk toguz,sisibekoa,undequinquaginta,cetrdesmit devini,ntuku minei na libwa,keturiasdesimt devyni,amakumi ana mu mwenda,nenganzwanzeg,chetirieset i devet,untalis,Hoe sivy amby efapolo,empat puluh sembilan,nalpttompt,disgha u erbghin,wha tekau ma iwa,ekoncalis,49 suba.,sawmli leh pakua,dochin es,lechykiu,untalis,forti-ni,makumi anayi mphambu zisanu ndi zinayi,calis na,afurtamii sagal,nhh tslwysht,chhl w nh,quarenta e nove,untali,tawa chunka isqunniyuq,patruzeci si noua,sorok devyat',fasefulu ma le iva,nvctvarimst,ceathrad 's a naoi,masomenne-senyane,chetrdeset devet,mashome a mane a metso e robong,makumi mana namapfumbamwe,wntlyhh,htlis nvy,styridsatdevat,devetinstirideset,sagaal iyo afartan,opat puluh salapan,arobaini na tisa,fyrtionio,apatnapu't siyam,chilu nukh,narpttonptu,kyryk tugyz,nlbhai tommidi,'arb`an tsh`aten,makume mune nhungu,kirk dokuz,kyrk dokuz,aduanan nkron,sorok dev'yat',ntlys,qaraq twqquz,qirq to'qqiz,bon muoi chin,pedwar deg naw,amashumi amane anesithoba,neyan 'vn f'rtsyk,mokandinlogoji,amashumi amane nesishiyagalolunye
fifty,vyftig,pesedhjete,hamsa,khmswn,hisown,pncach,phisqha tunka,elli,biduuru,berrogeita hamar,pyats'dzesyat,pncas,pcas,pedeset,petdeset,cinquanta,singkwenta,WuShi,WuShi,cinquanta,pedeset,padesat,halvtreds,fansaas,pmjah,kvindek,viiskummend,blaato,limampu,viisikymmenta,cinquante,fyftich,cincuenta,ormotsdaati,peninta,popa,pcas,senkant,hamsin,kanalima,hamiyshiym,tsib caug,otven,fimmtiu,iri ise,lima a pulo,caoga,seket,aivttu,elu,haseb,mirongo itanu,pnnas,OSib,fifti,penci,penj,eluu,hasib,quinquaginta,piecdesmit,ntuku mitano,penkiasdesimt,amakumi ataano,fofzeg,pedeset,pcas,dimam-polo,lima puluh,ampt,hamsin,rima tekau,pnnas,yankhei,sawmnga,tavin,nachy,pcas,femti,makumi asanu,pcas,shantama,pndzws,pnjh,cinquenta,pmjah,pichqa chunka,cincizeci,pyat'desyat,lima sefulu,pncasa,coigead,masomehlano,pedeset,mashome a mahlano,makumi mashanu,pnjhh,pns,patdesiat,petdeset,konton,lima puluh,hamsini,femtio,limampu,panjoh,aimptu,ille,yabhai,hamsa,makumentlhanu,elli,elli,aduonum,p'yatdesyat,pchs,i'ellak,ellik,nam muoi,hanner cant,Amashumi amahlanu,fvftsyk,aadota,amashumi amahlanu
fifty-one,een-en-vyftig,pesedhjete e nje,hamsa 'and,whd wkhmswn,hisownmek,ekpncas,phisqa tunka mayani,elli bir,bi duuru ni kelen,berrogeita hamaika,pyats'dzesyat adzin,ekann,ekvn ke ba,pedeset i jedan,petdeset i edno,cinquanta-un,kalim-an ug usa,WuShiYi,WuShiYi,cinquantu unu,pedeset jedan,padesat jedna,enoghalvtreds,fansaas eke,ikvn,kvindek unu,viiskummend uks,blaato vo deka,limampu't isa,viisikymmentayksi,cinquante et un,ienenfyftich,cincuenta e un,ormotsdaerti,peninta ena,cincuenta y uno,ekavn,senkant-yonn,hamsin da daya,kanalimakumakahi,hmysym v'ht,tsib caug ib,otvenegy,fimmtiu og einn,iri ise na otu,limapulo ket maysa,caoga a haon,seket siji,aivttomdu,elu bir,hasebmuoy.,mirongo itanu na rimwe,ekavnn vrsam jalim,OSibIl,fifti en wan,penci u yek,penj w yek,eluu bir,hasibhnung,quinquaginta unum,piecdesmit viens,ntuku mitano na moko,penkiasdesimt vienas,amakumi ataano mu gumu,fofzeg-eent,pedeset i eden,ekvn,Amby dimam-polo anankiray,lima puluh satu,ampttiyonn,wiehed u hamsin,rima tekau ma tahi,ekkavnn,mnarom ama.,sawmnga leh pakhat a ni,tavin neg,nachytc,ikyavn,femtien,makumi asanu ndi limodzi,pcas ek,shantamii tokko,yw pndzws,pnjh w yk,cinquenta e um,ikvmja,pichqa chunka hukniyuq,cincizeci si unu,pyat'desyat odin,lima sefulu tasi,ekpncast,leth-cheud 's a h-aon,masomehlano-tee,pedeset i jedan,mashome a mahlano a motso o mong,makumi mashanu nerimwe,pnjhh,pnsek,patdesiatjeden,enainpetdeset,kow iyo konton,lima puluh hiji,hamsini na moja,femtioen,limampu't isa,panjohu yak,aimpttonru,ille ber,yabhai okti,hamsan haden 'yu.,makume ntlhanu na n'we,elli bir,elli bir,aduonum biako,p'yatdesyat odin,kywn,i'ellak bar,ellik bir,nam muoi mot,pum deg un,amashumi amahlanu ananye,'yyn 'vn fvftsyk,aadota-okan,amashumi amahlanu nanye
fifty-two,twee en vyftig,pesedhjete e dy,hamsa hulet,thnn wkhmswn,hisownerkow,bavnn,phisqa tunka payani,elli iki,bi duuru ni fila,berrogeita hamabi,pyats'dzesyat dva,bay'ann,bavn ke ba,pedeset dva,petdeset i dve,cinquanta-dos,kalim-an ug duha,WuShiEr,WuShiEr,cinquantadui,pedeset i dvije,padesat dva,tooghalvtreds,fansaas dhe meehunneve,bavn,kvindek du,viiskummend kaks,blaato vo eve,limampu't dalawa,viisikymmentakaksi,cinquante-deux,twaenfyftich,cincuenta e dous,ormotsdatormet'i,peninta dyo,cincuenta y dos,bavn,senkant-de,hamsin da biyu,kanalimakumamalua,hmysym vstyym,tsib caug ob,otvenketto,fimmtiu og tveir,iri ise na abuo,limapulo ket dua,caoga a do,seket loro,aivtterdu,elu eki,hasebpeir,mirongo itanu na kabiri,bavn,OSibIDul,fifti tu,penci u du,penj w dww,eluu eki,hasibsng,quinquaginta duo,piecdesmit divi,ntuku mitano na mibale,penkiasdesimt du,ataano mu bibiri,zweeanzwanzeg,pedeset i dva,bavn,Roa amby dimam-polo,lima puluh dua,ampttirnt,tnejn u hamsin,rima tekau ma rua,bavnn,mnasuba ani.,sawmnga leh pahnih,tavin khoer,nachynhc,bavn,femtito,makumi asanu ndi awiri,baisi,shantamii lama,dwh pndzws,pnjh w dw,cinquenta e dois,bvmja,pichqa chunka iskayniyuq,cincizeci si doi,pyat'desyat dva,limasefulu ma le lua,dvapncast,caogad 's a dha,masomehlano-pedi,pedeset dva,mashome a mahlano a metso e mmedi,makumi mashanu nembiri,bwn,pns dek,patdesiatdva,dvainpetdeset,konton iyo laba,lima puluh dua,hamsini na mbili,femtiotva,limampu't dalawa,panjohu du,aimpttirntu,ille ike,yabhai remdu,hamsan klten,makume ntlhanu mbirhi,elli iki,elli iki,aduonum abien,p'yatdesyat dva,bwn,i'ellak i'akka,ellik ikki,nam muoi hai,pum deg dau,amashumi amahlanu anesibini,tsvvyy 'vn fvftsyk,aadota-meji,amashumi amahlanu nambili
fifty-three,drie-en-vyftig,pesedhjete e tre,hamsa sost,thlthh wkhmswn,hisownerek',tepnn,phisqa tunka kimsani,elli uc,bi duuru ni saba,berrogeita hamahiru,pyats'dzesyat try,tepann,tevn ke ba,pedeset tri,petdeset i tri,cinquanta-tres,kalim-an ug tulo,WuShiSan,WuShiSan,cinquanta tre,pedeset i tri,padesat tri,treoghalvtreds,fansaas thin meehunneve,tevn,kvindek tri,viiskummend kolm,blaato vo eto,limampu't tatlo,viisikymmentakolme,cinquante-trois,trijeenfyftich,cincuenta e tres,ormotsdasami,peninta tria,cincuenta y tres,trepn,senkant twa,hamsin da uku,kanalimakumamakolu,hmysym vslvs,tsib caug peb,otvenharom,fimmtiu og thrir,iri ise na ato,limapulo ket tallo,caoga a tri,seket telu,aivtmuru,elu ush,hasebbei,mirongo itanu na gatatu,tevn vrsam jalim,OSibSam,fifti tri tri,penci u se,penj w se,eluu uch,hasibsam,quinquaginta tres,piecdesmit tris,ntuku mitano na misato,penkiasdesimt trys,ataano mu ssatu,fofzeg-drai,pedeset i tri,tevn,Telo amby dimam-polo,lima puluh tiga,ampttimunn,tlieta u hamsin,rima tekau ma toru,trepnn,mna tranipal.,sawmnga leh pathum a ni,tavin gurav,nachysum,tevvn,femtitre,makumi asanu ndi atatu,pcas,shantamii sadii,dre pndzws,pnjh w sh,cinquenta e tres,53,pichqa chunka kimsayuq,cincizeci si trei,pyat'desyat tri,limasefulu-tolu,tryopncast,caogad 's a tri,masomehlano-tharo,pedeset tri,mashome a mahlano a metso e meraro,makumi mashanu nenhatu,tywn,pns tunyi,patdesiattri,triinpetdeset,konton iyo saddex,lima puluh tilu,hamsini na tatu,femtiotre,limampu't tatlo,panjohu se,aimpttu munru,ille och,yabhai mudu,hamsan selesten 'yu.,makume ntlhanu nharhu,elli uc,elli uc,aduonum abiesa,p'yatdesyat tri,trypn,i'ellak i'uch,ellik uch,nam muoi ba,pum deg tri,amashumi amahlanu anesithathu,dryy 'vn fvftsyk,aadota-meta,amashumi amahlanu nantathu
